,service_name,api_name,zipkin_timestamp,duration
6303,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:11:35,21.647000
6304,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:11:37,1.925000
6305,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:22,12.534000
6306,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:12:22,1.837000
6307,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:22,50.751000
6308,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:23,42.588000
6309,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:23,9.864000
6310,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:58,6.486000
6311,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:58,35.58000
6312,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:13:00,1.980000
6313,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:54,27.147000
6314,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:51,52.350000
6315,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:51,53.396000
6316,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:57,50.849000
6317,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:57,26.792000
6318,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:13:05,1.780000
6319,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:13:07,20.158000
6320,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:13:03,46.979000
6321,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:13:02,45.261000
6322,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:13:06,1.884000
6323,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:13:09,19.395000
6324,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:13:20,27.486000
6325,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:13:20,57.354000
6326,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:13:21,1.820000
6327,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:13:15,25.45000
6328,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:13:11,1.717000
6329,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:13:17,1.484000
6330,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:13:17,35.682000
6331,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:13:12,1.734000
6332,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:13:22,14.792000
6333,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:13:23,37.30000
