,ds,ticker,yhat,yhat_upper,yhat_lower
0,2023-07-27 18:28:45,get /ndxpro/v1/aibroker/entities,0.002762933538041696,0.003350033474452031,0.0021931589099579278
1,2023-07-27 18:28:50,get /ndxpro/v1/aibroker/entities,0.0027645441195408007,0.0033282353868480234,0.0021843961533279644
2,2023-07-27 18:28:55,get /ndxpro/v1/aibroker/entities,0.0027661417690981625,0.003343584748073046,0.0021753949213694167
3,2023-07-27 18:29:00,get /ndxpro/v1/aibroker/entities,0.0027677274062499193,0.0033084714832704878,0.0022162015262212204
4,2023-07-27 18:29:05,get /ndxpro/v1/aibroker/entities,0.0027693017737849806,0.0033195025970228645,0.0021868637846298913
5,2023-07-27 18:29:10,get /ndxpro/v1/aibroker/entities,0.0027708649150911683,0.0033287452286661656,0.0022498360944784644
6,2023-07-27 18:29:15,get /ndxpro/v1/aibroker/entities,0.002772416950196463,0.003319015701104579,0.0021897271940431295
7,2023-07-27 18:29:30,get /ndxpro/v1/aibroker/entities,0.0027770057658423226,0.003322186030656882,0.002219100446672767
8,2023-07-28 17:26:35,get /ndxpro/v1/aibroker/entities,0.0027460881794412143,0.00329904828770415,0.0021901030468708827
9,2023-07-28 17:26:40,get /ndxpro/v1/aibroker/entities,0.0027404173895473885,0.0033289854867111887,0.0021894750728361926
10,2023-07-28 17:26:45,get /ndxpro/v1/aibroker/entities,0.002734813094678411,0.0032832826168694203,0.0021741233866717532
11,2023-07-28 17:26:50,get /ndxpro/v1/aibroker/entities,0.0027292754483708116,0.003290789773388425,0.0021782839721445186
12,2023-07-28 17:26:55,get /ndxpro/v1/aibroker/entities,0.0027238463294574885,0.0032662415761032315,0.0021829399486913673
13,2023-07-28 17:27:00,get /ndxpro/v1/aibroker/entities,0.0027184851480549265,0.0033147601627001744,0.0021432456736973277
14,2023-07-28 17:27:05,get /ndxpro/v1/aibroker/entities,0.0027131926020477603,0.0032686579513693534,0.002179750435651787
15,2023-07-28 17:27:15,get /ndxpro/v1/aibroker/entities,0.0027027721333429747,0.0032163120404588466,0.00215381298758841
16,2023-07-28 17:27:20,get /ndxpro/v1/aibroker/entities,0.0026976449134425663,0.003244107892937651,0.0021064234206012214
17,2023-08-01 20:24:35,get /ndxpro/v1/aibroker/entities,0.003474059063283616,0.004021510875574176,0.0029320896944577688
