,service_name,api_name,timestamp,duration,traceId
2,databroker-service,get /ndxpro/v1/broker/entities/iot/provider,2023-06-26T23:11:21,10.856000,056ae68a6e86aa50
4,databroker-service,get /ndxpro/v1/broker/entities/iot/provider,2023-06-26T23:11:25,11.286000,fe71c81d785775e5
10,databroker-service,get /ndxpro/v1/broker/entities/iot/provider,2023-06-26T23:11:29,19.9000,df8e064ee38131c0
8,databroker-service,get /ndxpro/v1/broker/entities/iot/history,2023-06-26T23:11:31,13.207000,19fe2e8f944761a0
3,databroker-service,get /ndxpro/v1/broker/entities/iot/history,2023-06-26T23:11:31,12.427000,10e9920d81a63aca
1,databroker-service,get /ndxpro/v1/broker/entities/iot/history/{historyid},2023-06-26T23:11:33,3.802000,52fdda1bb88af620
7,databroker-service,get /ndxpro/v1/broker/entities/iot/history,2023-06-26T23:11:33,17.11000,f4c5248e182727fd
9,databroker-service,get /ndxpro/v1/broker/entities/iot/provider,2023-06-26T23:11:35,20.443000,8ad7c000b3b5075c
0,databroker-service,get /ndxpro/v1/broker/entities/iot/provider,2023-06-26T23:11:35,23.638000,3e783e6f50830c9a
6,databroker-service,get /ndxpro/v1/broker/entities/iot/provider,2023-06-26T23:11:36,18.126000,032b5a9c92732ee5
5,databroker-service,get /ndxpro/v1/broker/entities/iot/provider,2023-06-26T23:11:36,22.31000,ec7a92e3c6b1065b
37,databroker-service,get /ndxpro/v1/broker/entities/iot/provider,2023-06-27T23:22:34,13.817000,ecb908e02c37fb1a
66,databroker-service,get /ndxpro/v1/broker/entities/iot/provider,2023-06-27T23:22:36,10.345000,a5ec21d798cf8395
24,databroker-service,get /ndxpro/v1/broker/entities/iot/provider,2023-06-27T23:22:38,15.684000,36aa619aec58f7e6
36,databroker-service,get /ndxpro/v1/broker/entities/iot/history,2023-06-27T23:22:39,49.518000,d2c8d36fbcf39be3
43,databroker-service,get /ndxpro/v1/broker/entities/iot/provider,2023-06-27T23:22:39,33.5000,149f2d8cd5fe3e5b
44,databroker-service,get /ndxpro/v1/broker/entities/iot/history,2023-06-27T23:22:39,43.778000,5eecc4b352fb372a
32,databroker-service,get /ndxpro/v1/broker/entities/iot/history/{historyid},2023-06-27T23:24:39,4.704000,538e995d2a3a12d3
11,databroker-service,get /ndxpro/v1/broker/entities/iot/history,2023-06-27T23:24:39,43.663000,dc8fe26379718505
12,databroker-service,get /ndxpro/v1/broker/entities/provider,2023-06-27T23:24:45,10.761000,dd0eb1c32a0f3c78
57,databroker-service,get /ndxpro/v1/broker/entities/provider,2023-06-27T23:24:45,15.1000,a81ce1a0c07e0b8e
45,databroker-service,get /ndxpro/v1/broker/entities/iot/provider,2023-06-27T23:49:19,26.115000,7d204ce22b4e37aa
25,databroker-service,get /ndxpro/v1/broker/entities/iot/provider,2023-06-27T23:49:19,17.376000,cf7fe25b29d6abc6
33,databroker-service,get /ndxpro/v1/broker/entities/iot/history,2023-06-27T23:49:20,33.746000,f3f853953af7ccab
